-0.152595,-1.36881,1.01967,-2.14709,-2.9289,2.89991
-0.152572,-1.3688,1.01967,-2.14715,-2.92892,2.89993
-0.152536,-1.36882,1.01961,-2.1471,-2.9289,2.89991
-0.152445,-1.36896,1.01954,-2.14721,-2.92887,2.89983
-0.152301,-1.36918,1.01942,-2.1472,-2.92871,2.89972
-0.152067,-1.36942,1.0192,-2.14728,-2.92854,2.89957
-0.151775,-1.36973,1.01906,-2.14741,-2.92833,2.89939
-0.151242,-1.37033,1.01849,-2.14789,-2.92785,2.89896
-0.150893,-1.37062,1.0181,-2.14815,-2.9275,2.89864
-0.150495,-1.3709,1.01781,-2.14846,-2.92714,2.8983
-0.150083,-1.3712,1.01739,-2.1488,-2.92672,2.89792
-0.149647,-1.37158,1.01699,-2.14909,-2.92622,2.89745
-0.149199,-1.37194,1.01656,-2.14947,-2.92565,2.897
-0.148704,-1.37237,1.01607,-2.14991,-2.92513,2.89641
-0.14816,-1.37278,1.01549,-2.15045,-2.92451,2.89582
-0.147592,-1.37334,1.01494,-2.15102,-2.92377,2.8952
-0.146952,-1.37386,1.0143,-2.15168,-2.92305,2.89452
-0.146228,-1.37444,1.0136,-2.15241,-2.92231,2.89382
-0.145502,-1.37508,1.0129,-2.15315,-2.92158,2.89307
-0.144657,-1.37576,1.01212,-2.15388,-2.92077,2.89224
-0.143813,-1.3765,1.01132,-2.15474,-2.91993,2.89146
-0.142935,-1.37724,1.01055,-2.15564,-2.91905,2.89057
-0.142046,-1.37802,1.00959,-2.15658,-2.91815,2.88969
-0.141108,-1.37891,1.00871,-2.15751,-2.91721,2.88874
-0.14017,-1.37978,1.00779,-2.15858,-2.91628,2.88773
-0.138102,-1.38172,1.0057,-2.16078,-2.91432,2.88576
-0.13702,-1.38275,1.0046,-2.16197,-2.91331,2.88464
-0.135839,-1.38378,1.00348,-2.16319,-2.91222,2.88348
-0.134654,-1.38489,1.00225,-2.16441,-2.91106,2.88232
-0.133353,-1.38601,1.00105,-2.16569,-2.90995,2.8811
-0.132063,-1.38721,0.99977,-2.167,-2.90871,2.87993
-0.130807,-1.38846,0.998466,-2.16838,-2.90748,2.87852
-0.129444,-1.38968,0.997117,-2.16974,-2.90616,2.87719
-0.128085,-1.39102,0.995683,-2.17111,-2.90476,2.87581
-0.126687,-1.39233,0.994283,-2.17256,-2.90338,2.87436
-0.125255,-1.3937,0.99274,-2.17402,-2.90196,2.87291
-0.123749,-1.39511,0.991172,-2.17555,-2.9005,2.87145
-0.122266,-1.3966,0.989581,-2.17712,-2.899,2.86986
-0.120642,-1.3981,0.987917,-2.17871,-2.89745,2.86828
-0.119061,-1.39964,0.986276,-2.18036,-2.89577,2.86672
-0.117411,-1.40125,0.984604,-2.18201,-2.89419,2.86507
-0.115701,-1.4029,0.982856,-2.18368,-2.89243,2.86337
-0.114028,-1.40452,0.981122,-2.18536,-2.89065,2.86164
-0.112223,-1.40621,0.979422,-2.18712,-2.88888,2.8598
-0.110428,-1.40796,0.977591,-2.18899,-2.88706,2.85801
-0.108587,-1.40973,0.975797,-2.1909,-2.88524,2.85624
-0.106648,-1.41154,0.973883,-2.19283,-2.88339,2.85437
-0.104676,-1.41344,0.972003,-2.19486,-2.88151,2.85243
-0.102641,-1.41529,0.969943,-2.19681,-2.87959,2.85046
-0.100585,-1.41721,0.967969,-2.19886,-2.87755,2.84849
-0.0986279,-1.41909,0.965916,-2.20086,-2.87553,2.84641
-0.0965851,-1.4209,0.96395,-2.20286,-2.8735,2.84445
-0.0926231,-1.42454,0.959887,-2.20683,-2.86959,2.84048
-0.0906804,-1.42639,0.957883,-2.2088,-2.86765,2.83849
-0.0887011,-1.42836,0.955853,-2.21077,-2.86562,2.8365
-0.0867446,-1.43023,0.953835,-2.21275,-2.86364,2.8345
-0.0847891,-1.43211,0.951832,-2.21477,-2.86169,2.83252
-0.0827869,-1.43406,0.949815,-2.21684,-2.85976,2.83055
-0.0808294,-1.43598,0.947796,-2.21898,-2.85787,2.82855
-0.0787948,-1.43787,0.945777,-2.22112,-2.85589,2.82659
-0.0768264,-1.43977,0.943738,-2.22327,-2.85398,2.82462
-0.0747994,-1.4417,0.941757,-2.22538,-2.85201,2.82264
-0.0728272,-1.44361,0.939753,-2.22742,-2.85007,2.82068
-0.0707977,-1.4455,0.93775,-2.22937,-2.84807,2.81868
-0.0687936,-1.44739,0.935759,-2.23133,-2.84604,2.81669
-0.0668481,-1.44937,0.933755,-2.23332,-2.84406,2.81466
-0.0648029,-1.45118,0.931695,-2.23526,-2.84202,2.81266
-0.0627998,-1.45304,0.929667,-2.23722,-2.83999,2.81066
-0.0607937,-1.45488,0.92764,-2.23925,-2.83801,2.8086
-0.0587762,-1.45671,0.925626,-2.2412,-2.83593,2.80657
-0.0567606,-1.45856,0.923587,-2.24321,-2.83397,2.80455
-0.0548371,-1.46034,0.921538,-2.24517,-2.83191,2.80255
-0.0528553,-1.46213,0.919473,-2.24711,-2.82984,2.80056
-0.0509117,-1.4639,0.917531,-2.24905,-2.82779,2.79853
-0.0489643,-1.4657,0.915501,-2.25097,-2.82577,2.79647
-0.0450247,-1.46918,0.911508,-2.25496,-2.82167,2.79243
-0.0430196,-1.471,0.909495,-2.257,-2.8197,2.79044
-0.0409625,-1.47272,0.907444,-2.25901,-2.81767,2.78841
-0.0389574,-1.47442,0.905452,-2.26098,-2.81554,2.78645
-0.0368798,-1.47619,0.903459,-2.26297,-2.81352,2.78437
-0.0348848,-1.47796,0.901496,-2.26493,-2.81144,2.78241
